"","message_text","variable"
"11","I for sure see the potential for gamification in schools as described in the article and that schools already have some gamification in play (e.g., grades).  However, I like how they point out that grades and such are always high-stakes, whereas with games the stakes are always within reach and you get multiple chances to learn from failures.  Most importantly, I like the idea of returning fun to the learning.  When I was teaching high school I always had my students take a look at William Glasserês choice theory.  I would ask them when and how they get their various needs fulfilled.  Fun was always the tough one because most of the time fun was only had outside of school, but inevitably Iêd always find some students who craved this need so much in school that they would behave inappropriately.  It always came down to lake of time to be social.  Every time.  So, as a teacher what do you do with that?  I worked hard to create assignments or activities that forced my students to cooperate and sometimes compete, not always with success, but I found when I did give time for them to be social it paid off in terms of cutting down poor behavior.  However, itês a tough one because you only have so much time and lots of content to get through.I have read some of James Geeês work on gamification for other classes, so I was a little familiar with it prior to reading this article.  I am for sure intrigued about how to gamify aspects of school.  However, I do worry about the potential to fall into the extrinsic reward trap.  I think the interesting work will be to look into that line or space or whatever it is where young people (and adults) move away from the extrinsic reward and do it because they either enjoy it or made a commitment to it or they know they are learning from it or simply put, see value in it.  As I said, in my FlipGrid, I myself participate daily in to activities that use badges and rewards and even though itês a bit silly they do motivate me, but ultimately I do it because I see value in doing it.Gamification is the using of gaming techniques, not the game itself. I like how the authors argue, _a well-designed gamification system can help players take on meaningful roles that are fruitful for learning. By making the development of a new identity playful, and by rewarding it appropriately, we can help students think differently about their potential in school and what school might mean for them?(p. 4).  So, we can make school not this _game?that we all know and dread that we must get through to get to those potential rewards (e.g., graduation), but rather this game where you can try on new things safely and change constantly.  Iêm excited for it because gamification can foster curiosity, creativity, and ultimately can allow those involved to change the game itself.  Therefore, I see a lot more fluidity in gamification whereas the actual game is more set with specific rules and norms. ","DKI"
"12","I for sure see the potential for gamification in schools as described in the article and that schools already have some gamification in play (e.g., grades).  However, I like how they point out that grades and such are always high-stakes, whereas with games the stakes are always within reach and you get multiple chances to learn from failures.  Most importantly, I like the idea of returning fun to the learning.  When I was teaching high school I always had my students take a look at William Glasserês choice theory.  I would ask them when and how they get their various needs fulfilled.  Fun was always the tough one because most of the time fun was only had outside of school, but inevitably Iêd always find some students who craved this need so much in school that they would behave inappropriately.  It always came down to lake of time to be social.  Every time.  So, as a teacher what do you do with that?  I worked hard to create assignments or activities that forced my students to cooperate and sometimes compete, not always with success, but I found when I did give time for them to be social it paid off in terms of cutting down poor behavior.  However, itês a tough one because you only have so much time and lots of content to get through.I have read some of James Geeês work on gamification for other classes, so I was a little familiar with it prior to reading this article.  I am for sure intrigued about how to gamify aspects of school.  However, I do worry about the potential to fall into the extrinsic reward trap.  I think the interesting work will be to look into that line or space or whatever it is where young people (and adults) move away from the extrinsic reward and do it because they either enjoy it or made a commitment to it or they know they are learning from it or simply put, see value in it.  As I said, in my FlipGrid, I myself participate daily in to activities that use badges and rewards and even though itês a bit silly they do motivate me, but ultimately I do it because I see value in doing it.Gamification is the using of gaming techniques, not the game itself. I like how the authors argue, _a well-designed gamification system can help players take on meaningful roles that are fruitful for learning. By making the development of a new identity playful, and by rewarding it appropriately, we can help students think differently about their potential in school and what school might mean for them?(p. 4).  So, we can make school not this _game?that we all know and dread that we must get through to get to those potential rewards (e.g., graduation), but rather this game where you can try on new things safely and change constantly.  Iêm excited for it because gamification can foster curiosity, creativity, and ultimately can allow those involved to change the game itself.  Therefore, I see a lot more fluidity in gamification whereas the actual game is more set with specific rules and norms. ","DKI"
"13","Hi, M,The extrinsic rewards thing bothers me a bit, too. I'm not sure gamification can inspire intrinsic motivation, but I can see the potential for gamification elements to draw students into lessons that contain real-world motivators using anchored instruction or situated learning theory. I love what you say about changing school from a game students dread to a game that fosters their curiosity and creativity, one they themselves can help change--very well put!","SKC"
"14","Hi, M,The extrinsic rewards thing bothers me a bit, too. I'm not sure gamification can inspire intrinsic motivation, but I can see the potential for gamification elements to draw students into lessons that contain real-world motivators using anchored instruction or situated learning theory. I love what you say about changing school from a game students dread to a game that fosters their curiosity and creativity, one they themselves can help change--very well put!","MKC"
"15","What did you find interesting about gamification as described in the article? ""Educational gamification proposes the use of game-like rule systems, player experiences and cultural roles to shape learners?behavior."" I thought it was interesting that the act of playing the game was the focus. One big question I had was how well do the problem-solving skills and persistence transfer into non-game based learning situations? The authors acknowledge that having students learn only through external rewards might be one of the drawbacks but I wonder to what extent students can integrate/apply this type of learning more broadly. For example, the article indicates that gamification, ""gives students clear, actionable tasks and promises the immediate rewards instead of vague long-term benefits."" What happens when a student has to solve a messy, ill-structured problem? Is gamification what you thought it was? I assumed it was game-based learning. I'm a little confused as to whether it is a specific type of game-based learning. I wasn't certain what the characterisitcs of ""gamification"" vs  other ""game-based learning"" would be. Does it always need to have immediate reward systems? And to what extent are the cultural roles described critical? I was surprised that the authors used Angry Birds as an example of gamification learning.How does gamification differ from actually using games? I would think that effective gamification would have the learning objectives critical to the game play. I wondered whether good gamification design would provide means of scaffolding the learning to situations outside of the game. I also wondered if gamification design could mitigate the negative aspects such as game addiction so that it is still engaging but does not become a harmful escape.","MKI"
"16","What did you find interesting about gamification as described in the article? ""Educational gamification proposes the use of game-like rule systems, player experiences and cultural roles to shape learners?behavior."" I thought it was interesting that the act of playing the game was the focus. One big question I had was how well do the problem-solving skills and persistence transfer into non-game based learning situations? The authors acknowledge that having students learn only through external rewards might be one of the drawbacks but I wonder to what extent students can integrate/apply this type of learning more broadly. For example, the article indicates that gamification, ""gives students clear, actionable tasks and promises the immediate rewards instead of vague long-term benefits."" What happens when a student has to solve a messy, ill-structured problem? Is gamification what you thought it was? I assumed it was game-based learning. I'm a little confused as to whether it is a specific type of game-based learning. I wasn't certain what the characterisitcs of ""gamification"" vs  other ""game-based learning"" would be. Does it always need to have immediate reward systems? And to what extent are the cultural roles described critical? I was surprised that the authors used Angry Birds as an example of gamification learning.How does gamification differ from actually using games? I would think that effective gamification would have the learning objectives critical to the game play. I wondered whether good gamification design would provide means of scaffolding the learning to situations outside of the game. I also wondered if gamification design could mitigate the negative aspects such as game addiction so that it is still engaging but does not become a harmful escape.","MKI"
"17","What did you find interesting about gamification as described in the article? ""Educational gamification proposes the use of game-like rule systems, player experiences and cultural roles to shape learners?behavior."" I thought it was interesting that the act of playing the game was the focus. One big question I had was how well do the problem-solving skills and persistence transfer into non-game based learning situations? The authors acknowledge that having students learn only through external rewards might be one of the drawbacks but I wonder to what extent students can integrate/apply this type of learning more broadly. For example, the article indicates that gamification, ""gives students clear, actionable tasks and promises the immediate rewards instead of vague long-term benefits."" What happens when a student has to solve a messy, ill-structured problem? Is gamification what you thought it was? I assumed it was game-based learning. I'm a little confused as to whether it is a specific type of game-based learning. I wasn't certain what the characterisitcs of ""gamification"" vs  other ""game-based learning"" would be. Does it always need to have immediate reward systems? And to what extent are the cultural roles described critical? I was surprised that the authors used Angry Birds as an example of gamification learning.How does gamification differ from actually using games? I would think that effective gamification would have the learning objectives critical to the game play. I wondered whether good gamification design would provide means of scaffolding the learning to situations outside of the game. I also wondered if gamification design could mitigate the negative aspects such as game addiction so that it is still engaging but does not become a harmful escape.","MKI"
"18","What did you find interesting about gamification as described in the article? ""Educational gamification proposes the use of game-like rule systems, player experiences and cultural roles to shape learners?behavior."" I thought it was interesting that the act of playing the game was the focus. One big question I had was how well do the problem-solving skills and persistence transfer into non-game based learning situations? The authors acknowledge that having students learn only through external rewards might be one of the drawbacks but I wonder to what extent students can integrate/apply this type of learning more broadly. For example, the article indicates that gamification, ""gives students clear, actionable tasks and promises the immediate rewards instead of vague long-term benefits."" What happens when a student has to solve a messy, ill-structured problem? Is gamification what you thought it was? I assumed it was game-based learning. I'm a little confused as to whether it is a specific type of game-based learning. I wasn't certain what the characterisitcs of ""gamification"" vs  other ""game-based learning"" would be. Does it always need to have immediate reward systems? And to what extent are the cultural roles described critical? I was surprised that the authors used Angry Birds as an example of gamification learning.How does gamification differ from actually using games? I would think that effective gamification would have the learning objectives critical to the game play. I wondered whether good gamification design would provide means of scaffolding the learning to situations outside of the game. I also wondered if gamification design could mitigate the negative aspects such as game addiction so that it is still engaging but does not become a harmful escape.","MKI"
"19","Thanks for your thoughts, E.  Problem-solving skills and persistence do transfer into non-gaming environments as well. Problem-based learning is a great example of a situation that may be a non-gaming environment. Basically, students learn about a subject through problem-solving activities. Usually, in problem-based learning environments, students work collaboratively to solve a problem, and it creates a high level of self motivation. Gamification takes the elements of games (points, rewards, external motivation, fun) to increase student engagement and motivation. I suggest checking out the following from a presentation at a conference last year: http://sloanconsortium.org/conference/2013/et4online/hiding-broccol....      ","SKC"
"20","Thanks for your thoughts, E.  Problem-solving skills and persistence do transfer into non-gaming environments as well. Problem-based learning is a great example of a situation that may be a non-gaming environment. Basically, students learn about a subject through problem-solving activities. Usually, in problem-based learning environments, students work collaboratively to solve a problem, and it creates a high level of self motivation. Gamification takes the elements of games (points, rewards, external motivation, fun) to increase student engagement and motivation. I suggest checking out the following from a presentation at a conference last year: http://sloanconsortium.org/conference/2013/et4online/hiding-broccol....      ","MKC"
"21","C,Thanks for sharing this link - it  clarified the distinction/elements of gamification much more for me.","SKC"
"22","What did you find interesting about gamification as described in the article? At the third section _Why Bother: Risks and Benefits? it describes _?playfulness requires freedom _ freedom to experiment, to fail, to explore multiple identities, to control oneês own investment and experience. By making play mandatory, gamification might create rule-based experiences that feel just like school.?For me, Iêve always been thinking about that gamification, which applies game elements and converts homework assignments into quests, will provide students a joyful experience in education. And I ignored that the mandatory participation could still make students feel like the game-like course is just a change in form but not in content. It really is a reminder to me.Is gamification what you thought it was? Before starting exploring this topic, I thought Gamification is gamifying courses according to its literal meaning, however Iêm not sure whether games are applied. Now I know it is the use of game thinking and game mechanics in non-game contexts to engage users in solving problems. The articles changed my thought about Gamification, and made me re-recognize it. How does gamification differ from actually using games? I think, Gamification uses game thinking and game mechanics, which mimic the experience of passing through checkpoints in games, to promote the engagement of students. Instead, games have probability to distract students?attention from course content to game environment.","MKI"
"23","What did you find interesting about gamification as described in the article? At the third section _Why Bother: Risks and Benefits? it describes _?playfulness requires freedom _ freedom to experiment, to fail, to explore multiple identities, to control oneês own investment and experience. By making play mandatory, gamification might create rule-based experiences that feel just like school.?For me, Iêve always been thinking about that gamification, which applies game elements and converts homework assignments into quests, will provide students a joyful experience in education. And I ignored that the mandatory participation could still make students feel like the game-like course is just a change in form but not in content. It really is a reminder to me.Is gamification what you thought it was? Before starting exploring this topic, I thought Gamification is gamifying courses according to its literal meaning, however Iêm not sure whether games are applied. Now I know it is the use of game thinking and game mechanics in non-game contexts to engage users in solving problems. The articles changed my thought about Gamification, and made me re-recognize it. How does gamification differ from actually using games? I think, Gamification uses game thinking and game mechanics, which mimic the experience of passing through checkpoints in games, to promote the engagement of students. Instead, games have probability to distract students?attention from course content to game environment.","MKI"
"24","What did you find interesting about gamification as described in the article? At the third section _Why Bother: Risks and Benefits? it describes _?playfulness requires freedom _ freedom to experiment, to fail, to explore multiple identities, to control oneês own investment and experience. By making play mandatory, gamification might create rule-based experiences that feel just like school.?For me, Iêve always been thinking about that gamification, which applies game elements and converts homework assignments into quests, will provide students a joyful experience in education. And I ignored that the mandatory participation could still make students feel like the game-like course is just a change in form but not in content. It really is a reminder to me.Is gamification what you thought it was? Before starting exploring this topic, I thought Gamification is gamifying courses according to its literal meaning, however Iêm not sure whether games are applied. Now I know it is the use of game thinking and game mechanics in non-game contexts to engage users in solving problems. The articles changed my thought about Gamification, and made me re-recognize it. How does gamification differ from actually using games? I think, Gamification uses game thinking and game mechanics, which mimic the experience of passing through checkpoints in games, to promote the engagement of students. Instead, games have probability to distract students?attention from course content to game environment.","DKI"
"25","What did you find interesting about gamification as described in the article? One part that really stuck out to me was the first sentence in the third paragraph in the Why Bother section. It said ""In short, some gamification projects will succeed, and others will fail."" I think this is the quote that I was looking for the entire time while reading the article. I definitely see the benefits of using gamification in a classroom but I also think that it is important to recognize that it is not always going to work. I know for myself personally I was not necessarily a student who enjoyed these kind of activities while in school because they always seemed so pointless to me. But as I have gotten older and into a variety of classrooms I have seen these activities be very beneficial for some students.  Is gamification what you thought it was? I had some background knowledge/ideas on what gamification was so the description given in the article was pretty much what I thought it was.  How does gamification differ from actually using games? I think good gamification would allow students to have the feeling that they are in a game, while actually hitting standards that they need to learn. Games to me really have no learning outcome at the end of them, while gamifications would. ","MKI"
"26","What did you find interesting about gamification as described in the article? One part that really stuck out to me was the first sentence in the third paragraph in the Why Bother section. It said ""In short, some gamification projects will succeed, and others will fail."" I think this is the quote that I was looking for the entire time while reading the article. I definitely see the benefits of using gamification in a classroom but I also think that it is important to recognize that it is not always going to work. I know for myself personally I was not necessarily a student who enjoyed these kind of activities while in school because they always seemed so pointless to me. But as I have gotten older and into a variety of classrooms I have seen these activities be very beneficial for some students.  Is gamification what you thought it was? I had some background knowledge/ideas on what gamification was so the description given in the article was pretty much what I thought it was.  How does gamification differ from actually using games? I think good gamification would allow students to have the feeling that they are in a game, while actually hitting standards that they need to learn. Games to me really have no learning outcome at the end of them, while gamifications would. ","DKI"
"27","What did you find interesting about gamification as described in the article? One part that really stuck out to me was the first sentence in the third paragraph in the Why Bother section. It said ""In short, some gamification projects will succeed, and others will fail."" I think this is the quote that I was looking for the entire time while reading the article. I definitely see the benefits of using gamification in a classroom but I also think that it is important to recognize that it is not always going to work. I know for myself personally I was not necessarily a student who enjoyed these kind of activities while in school because they always seemed so pointless to me. But as I have gotten older and into a variety of classrooms I have seen these activities be very beneficial for some students.  Is gamification what you thought it was? I had some background knowledge/ideas on what gamification was so the description given in the article was pretty much what I thought it was.  How does gamification differ from actually using games? I think good gamification would allow students to have the feeling that they are in a game, while actually hitting standards that they need to learn. Games to me really have no learning outcome at the end of them, while gamifications would. ","DKI"
"28","J I like how you stated ""Students to have the feeling that they are in the game, while actually hitting standards that they need to learn.""  Interaction is so important and having the students immured in the learning is so important.","MKC"
"29","When I think about applying gamification elements, that's exactly what I hope would happen--that participants would feel like they're playing while they learn, even if mandatory participation might take a bit of the fun out of it.","MKC"
"30","What did you find interesting about ramification as described in the article? Gamification projects offer the opportunity to experiment with rules, emotions, and social roles. Read an optional library book on the topic being taught in class? Receive _Reading?points. Get perfect attendance and complete all homework assignments on time for a month? Earn an _On Target_ badge. Get assigned as a _LeadDetective?role in science class? Work hard to ask the best questions. When playing by these rules, students develop new frameworks for understanding their school-based activities. As suggested by Leblanc (2006), this can motivate students to participate more deeply and even to change their self-concept as learners. I basically liked a lot the definition of gamilfication and also the using example of gamification is awesome! Is gamification what you thought it was? Actually I have never heard of the gamification before. But when i first was the term, I thought it would be some effect of game or anything related to real game. However it was totally different. I could think at all it would be the using of game system for real life! How does gamification differs from actually using game?First, the game is just playing game and there is no advantage at all. The purpose of playing game is just for fun or enjoy. However gamification is to encourage people to work, study or do better by using the concept of game.  For example, Lee Sheldon, professor at Rensselaer Polytechnic Institute, discarded traditional grading in favor of earning _experience points?and converted homework assignments into quests (Laster, 2010). At the other end of the scale, Quest to Learn, a new charter school in New York City, uses game design as its organizing framework for teaching and learning. Game designers work together with teachers to develop playful curricula and incorporate game elements into the entire school day (Corbett, 2010).","MKI"
"31","What did you find interesting about ramification as described in the article? Gamification projects offer the opportunity to experiment with rules, emotions, and social roles. Read an optional library book on the topic being taught in class? Receive _Reading?points. Get perfect attendance and complete all homework assignments on time for a month? Earn an _On Target_ badge. Get assigned as a _LeadDetective?role in science class? Work hard to ask the best questions. When playing by these rules, students develop new frameworks for understanding their school-based activities. As suggested by Leblanc (2006), this can motivate students to participate more deeply and even to change their self-concept as learners. I basically liked a lot the definition of gamilfication and also the using example of gamification is awesome! Is gamification what you thought it was? Actually I have never heard of the gamification before. But when i first was the term, I thought it would be some effect of game or anything related to real game. However it was totally different. I could think at all it would be the using of game system for real life! How does gamification differs from actually using game?First, the game is just playing game and there is no advantage at all. The purpose of playing game is just for fun or enjoy. However gamification is to encourage people to work, study or do better by using the concept of game.  For example, Lee Sheldon, professor at Rensselaer Polytechnic Institute, discarded traditional grading in favor of earning _experience points?and converted homework assignments into quests (Laster, 2010). At the other end of the scale, Quest to Learn, a new charter school in New York City, uses game design as its organizing framework for teaching and learning. Game designers work together with teachers to develop playful curricula and incorporate game elements into the entire school day (Corbett, 2010).","DKI"
