,text,variable
11,Great word cloud; I think it sums up a community really well,SKC
12,"Great job, A! I really like your word cloud. It well defines the word ""community"", emphasizing the most important ones in larger font size, and it also inspires me something I never think of.",SKC
13,"After reading the first chapter of ""Building online learning communities"" and searching for some articles and Wikipedia information, I have had an initial conception of ""online learning community"". In my opinion, two kinds of actors- facilitator and learner are fundamental factors in online learning community. Various online activities performed by these two kinds of actors comprise a online social context. This constructivist context is called online learning community. More importantly, only this constructivist context can be considered as ""online learning community"". Communities which are used as a platform to deliver teaching materials by instructors are not ""online learning community"".In order to form a social constructivist context, facilitator should clarify course goals, objectives, expected outcomes, guidelines, collaborative assignments to learners. During the learning process, the learner who is open-minded sharing, self-motivated and self-disciplined are more likely to be a successful online learner. Online activities (performed by both learners and facilitator) include social presence, collaborative activities, interactions and communications, reflective and transformative learning, etc. Details of these concepts please watch my Prezi shown below.My Prezi: What's online learning community?I believe community is important in online learning spaces. Because I believe learning is a social process. Online community is the space people share their thoughts, ideas, reflections, skills, technologies and make communications and interactions with others. Only through this self-learning and collaborative learning process can people construct their knowledge system.Thanks guys. Could you please tell me whether you can watch the Prezi or not?",MKI
14,"After reading the first chapter of ""Building online learning communities"" and searching for some articles and Wikipedia information, I have had an initial conception of ""online learning community"". In my opinion, two kinds of actors- facilitator and learner are fundamental factors in online learning community. Various online activities performed by these two kinds of actors comprise a online social context. This constructivist context is called online learning community. More importantly, only this constructivist context can be considered as ""online learning community"". Communities which are used as a platform to deliver teaching materials by instructors are not ""online learning community"".In order to form a social constructivist context, facilitator should clarify course goals, objectives, expected outcomes, guidelines, collaborative assignments to learners. During the learning process, the learner who is open-minded sharing, self-motivated and self-disciplined are more likely to be a successful online learner. Online activities (performed by both learners and facilitator) include social presence, collaborative activities, interactions and communications, reflective and transformative learning, etc. Details of these concepts please watch my Prezi shown below.My Prezi: What's online learning community?I believe community is important in online learning spaces. Because I believe learning is a social process. Online community is the space people share their thoughts, ideas, reflections, skills, technologies and make communications and interactions with others. Only through this self-learning and collaborative learning process can people construct their knowledge system.Thanks guys. Could you please tell me whether you can watch the Prezi or not?",DKI
15,"After reading the first chapter of ""Building online learning communities"" and searching for some articles and Wikipedia information, I have had an initial conception of ""online learning community"". In my opinion, two kinds of actors- facilitator and learner are fundamental factors in online learning community. Various online activities performed by these two kinds of actors comprise a online social context. This constructivist context is called online learning community. More importantly, only this constructivist context can be considered as ""online learning community"". Communities which are used as a platform to deliver teaching materials by instructors are not ""online learning community"".In order to form a social constructivist context, facilitator should clarify course goals, objectives, expected outcomes, guidelines, collaborative assignments to learners. During the learning process, the learner who is open-minded sharing, self-motivated and self-disciplined are more likely to be a successful online learner. Online activities (performed by both learners and facilitator) include social presence, collaborative activities, interactions and communications, reflective and transformative learning, etc. Details of these concepts please watch my Prezi shown below.My Prezi: What's online learning community?I believe community is important in online learning spaces. Because I believe learning is a social process. Online community is the space people share their thoughts, ideas, reflections, skills, technologies and make communications and interactions with others. Only through this self-learning and collaborative learning process can people construct their knowledge system.Thanks guys. Could you please tell me whether you can watch the Prezi or not?",DKI
16,"After reading the first chapter of ""Building online learning communities"" and searching for some articles and Wikipedia information, I have had an initial conception of ""online learning community"". In my opinion, two kinds of actors- facilitator and learner are fundamental factors in online learning community. Various online activities performed by these two kinds of actors comprise a online social context. This constructivist context is called online learning community. More importantly, only this constructivist context can be considered as ""online learning community"". Communities which are used as a platform to deliver teaching materials by instructors are not ""online learning community"".In order to form a social constructivist context, facilitator should clarify course goals, objectives, expected outcomes, guidelines, collaborative assignments to learners. During the learning process, the learner who is open-minded sharing, self-motivated and self-disciplined are more likely to be a successful online learner. Online activities (performed by both learners and facilitator) include social presence, collaborative activities, interactions and communications, reflective and transformative learning, etc. Details of these concepts please watch my Prezi shown below.My Prezi: What's online learning community?I believe community is important in online learning spaces. Because I believe learning is a social process. Online community is the space people share their thoughts, ideas, reflections, skills, technologies and make communications and interactions with others. Only through this self-learning and collaborative learning process can people construct their knowledge system.Thanks guys. Could you please tell me whether you can watch the Prezi or not?",DKI
17,"I have been a online learner for the past 3 years as I completed my parent ed license and my masters.  I feel that I have been able to be successful because I am self motivated and have a lot of back ground knowledge about the subject.  I also have the computer access and the ability to learn and understand in the area.  Learning in an online community is not easy, and demands that the learner and instructor work together.",MKC
18,"R,I was able to get the Prezi up. What I particularly appreciated about it was the notion of the online community as active members constructing knowledge through discourse. I also liked that you included reflection. I think reflection might be one of the trickiest things to include in an online community. Because the nature of the community may be asynchronous, members maybe feel like they have come late to the party and not be able to slow down to reflect. Thanks for taking the time to put together this visual",MKC
19,"Thank you for your reply, E. Yes, in my learning process, I always have this journey: think and try something by myself-- communicate or collaborate with others--try something new learned through discourses with others--communicate and so on so forth.. :)",DKC
20,"R, I was able to see your Prezi using the link. I find it very easy to understand--it represents a lot of information in a way that I can digest easily, and I appreciate that. Also, it's pretty. I find it especially relevant that the two arms of your definition feed into the social constructivist circle because the idea that we create learning together as a social activity seems to lie at the center of why we need community in an online course. Thanks for your hard work",MKC
21,"Thanks for your feedback, F. I like your description-- two arms :)
Thanks for your feedback, F. I like your description-- two arms :)
",SKC
22,"Yup, I can't agree with you more that those used as platforms to deliver teaching materials by instructors are not online learning community",SKC
23,"Thank you, R, for the Prezi - it really lays out the elements clearly for me",SKC
24,"As I reflect on the idea of community, think about the reading in chapter 1, and the information that I found online, is the fact that the ideas around and the definition of community has made many changes in the past several years. _My first thought on ""community"" sent me to my childhood neighborhood. _A place where a group of people lived and interacted together. _Merriam and Webster define community as ""a group of people who live in the same area, a group of people who have the same interest, religion or race"". _This definition I would say has been the main idea of community for decades. However, now we have a new and modern idea of something called the ""Virtual Community"". _The internet has taken the idea of living in the same area away. _Now we are able to be a part of a community regardless of our location. _I have been part of an online community for the past three years here at the University. _During my first year it was a time of intense learning. _I was not used to the online learning tools, and it took me a while to feel confident in myself as a learner. _Chapter one did a nice job of laying out what it takes to be successful with online communities. _At first, I had a hard time trusting myself to be able to complete the work without the instructor on hand. _I also had to develop a game plan for myself as much of the learning and time frame is based on your time line. _After three years of being a part of the online community. _I feel that I know what I am doing. _I am willing to put myself out their in my posts and willing to share my ideas with the class and the instructor. What I love about online communities is that it bring together a group of people who may never have connected. _I also love online communities because I am able to work at my own pace when it works for me. _It is fun to see what others are doing and thinking about in posts and chats. _This to me is why I believe that online communities are so important. _I have been amazed how much I have learned in the past three years and all the great people that I have been in a ""community"" with.",MKI
25,"As I reflect on the idea of community, think about the reading in chapter 1, and the information that I found online, is the fact that the ideas around and the definition of community has made many changes in the past several years. _My first thought on ""community"" sent me to my childhood neighborhood. _A place where a group of people lived and interacted together. _Merriam and Webster define community as ""a group of people who live in the same area, a group of people who have the same interest, religion or race"". _This definition I would say has been the main idea of community for decades. However, now we have a new and modern idea of something called the ""Virtual Community"". _The internet has taken the idea of living in the same area away. _Now we are able to be a part of a community regardless of our location. _I have been part of an online community for the past three years here at the University. _During my first year it was a time of intense learning. _I was not used to the online learning tools, and it took me a while to feel confident in myself as a learner. _Chapter one did a nice job of laying out what it takes to be successful with online communities. _At first, I had a hard time trusting myself to be able to complete the work without the instructor on hand. _I also had to develop a game plan for myself as much of the learning and time frame is based on your time line. _After three years of being a part of the online community. _I feel that I know what I am doing. _I am willing to put myself out their in my posts and willing to share my ideas with the class and the instructor. What I love about online communities is that it bring together a group of people who may never have connected. _I also love online communities because I am able to work at my own pace when it works for me. _It is fun to see what others are doing and thinking about in posts and chats. _This to me is why I believe that online communities are so important. _I have been amazed how much I have learned in the past three years and all the great people that I have been in a ""community"" with.",DKI
26,"As I reflect on the idea of community, think about the reading in chapter 1, and the information that I found online, is the fact that the ideas around and the definition of community has made many changes in the past several years. _My first thought on ""community"" sent me to my childhood neighborhood. _A place where a group of people lived and interacted together. _Merriam and Webster define community as ""a group of people who live in the same area, a group of people who have the same interest, religion or race"". _This definition I would say has been the main idea of community for decades. However, now we have a new and modern idea of something called the ""Virtual Community"". _The internet has taken the idea of living in the same area away. _Now we are able to be a part of a community regardless of our location. _I have been part of an online community for the past three years here at the University. _During my first year it was a time of intense learning. _I was not used to the online learning tools, and it took me a while to feel confident in myself as a learner. _Chapter one did a nice job of laying out what it takes to be successful with online communities. _At first, I had a hard time trusting myself to be able to complete the work without the instructor on hand. _I also had to develop a game plan for myself as much of the learning and time frame is based on your time line. _After three years of being a part of the online community. _I feel that I know what I am doing. _I am willing to put myself out their in my posts and willing to share my ideas with the class and the instructor. What I love about online communities is that it bring together a group of people who may never have connected. _I also love online communities because I am able to work at my own pace when it works for me. _It is fun to see what others are doing and thinking about in posts and chats. _This to me is why I believe that online communities are so important. _I have been amazed how much I have learned in the past three years and all the great people that I have been in a ""community"" with.",DKI
27,"Hi, B. I am totally agree with your points. Sharing and chatting in online community is fun, and we at the same time could learn something or reflect on our previous thoughts, experiences",MKC
28,"Hi B - I really like your comment,""What I love about online communities is that it bring together a group of people who may never have connected."" This is a key component to an online learning environment and provides a great framework to build a strong community in that it allows members to bring forward their own experiences and relate them to others in the course/community",MKC
29,"Hi, B and C,I agree! Your line about a group of people who may never have connected resonated with me, as well. I think what I have enjoyed most about online social media as I have wandered through it more or less consciously roe deliberately over the years, is that I have encountered so many people with so many varied perspectives that I'm ought never have gotten to know--almost certainly would not have gotten to know--any other way. My worldview has definitely expanded as a result,",DKC
30,"Hi B,I like your discussion of how the definition of ""community"" has evolved. I also really like your point about one of the benefits of online communities, which is bringing together a group of people that may never have come together.Thanks!",SKC
31,"B - I agree with you about community in the neighborhood sense. That was my first intro to community when I was growing up as well. I am new to formal online learning, but I've been hanging out in social media spaces for a few years now, and finally feel like I am getting the hang of interacting in those kinds of communities. It definitely takes a while to learn how to interact online.Have you found other online learning communities that have been helpful as you've been going through the program?",SKC
32,"B - I agree with you about community in the neighborhood sense. That was my first intro to community when I was growing up as well. I am new to formal online learning, but I've been hanging out in social media spaces for a few years now, and finally feel like I am getting the hang of interacting in those kinds of communities. It definitely takes a while to learn how to interact online.Have you found other online learning communities that have been helpful as you've been going through the program?",MKC
33,The only other community has been through Moodle and it has some of the same features as Ning.  I had never done a Voicethread and that was something fun to try.  Also online intros have been new.  I think that these pieces have been really interesting to be able to put a name with a face and have made me feel more connected early on to the group,MKC
34,"Hi B, in my opinion, Moodle is course management system while Ning is more like social networking site :)",MKC
35,"It is crazy sometimes to think of ""virtual community"" _we have come so far with technology.I recall my first online class and I hated it. _I was soooooo scared of not clicking the right area, or I was missing a site to visit. _I would get frustrated and need a teacher right now!!!I am now in my last stretch of Master degree and I stayed with online classes (all). _I am enjoying the community in-which I live in as a student. _This is my second time in Ning, and I am enjoying this site as much as the others.... _You move fast, but it keeps the learning fun and to the point!",MKC
36,"When I think about defining online community, I think about how I as a program evaluator would think about it as an intervention in learning and what that may ""look like"". I reviewed a few published studies that evaluated different online communities (learning and professional). _The online communities that ""succeeded"" by some measure included these aspects: high engagement (measured by frequency of participation, depth of participation, or particular participation patterns), shared sense of vision (in most cases this was centered on a particular aspect of learning), _and sense of belonging or community loyalty (self report paired with measures of participation). The studies also discussed motivations such as relevance of knowledge sharing in community and perceived advantage of belonging and participating. The studies also either measured or discussed the role of self efficacy in fostering engagement. Participants needed to be confident enough in their own ability to share knowledge to be engaged.In a learning community it seems like it would be important to figure out what strengths different members bring to the table, scaffold discussions so that varied expertise is valued, and establish the trust among members early and consistently. I liked the ""Building Online Learning Communities' reference to conscious community - the need for personal growth and transformation as part of that definition.The other piece that seemed missing from the studies I found was thinking about the role of discourse in building knowledge or learning in the community. It was perhaps implicit in the different measures of weblogs aItics from these studies but that seems to miss the constructivist thinking that R described in Prezi.Thinking about the definition makes me realize the challenges of thinking about evaluation with respect to online communities.",SKI
37,"When I think about defining online community, I think about how I as a program evaluator would think about it as an intervention in learning and what that may ""look like"". I reviewed a few published studies that evaluated different online communities (learning and professional). _The online communities that ""succeeded"" by some measure included these aspects: high engagement (measured by frequency of participation, depth of participation, or particular participation patterns), shared sense of vision (in most cases this was centered on a particular aspect of learning), _and sense of belonging or community loyalty (self report paired with measures of participation). The studies also discussed motivations such as relevance of knowledge sharing in community and perceived advantage of belonging and participating. The studies also either measured or discussed the role of self efficacy in fostering engagement. Participants needed to be confident enough in their own ability to share knowledge to be engaged.In a learning community it seems like it would be important to figure out what strengths different members bring to the table, scaffold discussions so that varied expertise is valued, and establish the trust among members early and consistently. I liked the ""Building Online Learning Communities' reference to conscious community - the need for personal growth and transformation as part of that definition.The other piece that seemed missing from the studies I found was thinking about the role of discourse in building knowledge or learning in the community. It was perhaps implicit in the different measures of weblogs aItics from these studies but that seems to miss the constructivist thinking that R described in Prezi.Thinking about the definition makes me realize the challenges of thinking about evaluation with respect to online communities.",MKI
38,"When I think about defining online community, I think about how I as a program evaluator would think about it as an intervention in learning and what that may ""look like"". I reviewed a few published studies that evaluated different online communities (learning and professional). _The online communities that ""succeeded"" by some measure included these aspects: high engagement (measured by frequency of participation, depth of participation, or particular participation patterns), shared sense of vision (in most cases this was centered on a particular aspect of learning), _and sense of belonging or community loyalty (self report paired with measures of participation). The studies also discussed motivations such as relevance of knowledge sharing in community and perceived advantage of belonging and participating. The studies also either measured or discussed the role of self efficacy in fostering engagement. Participants needed to be confident enough in their own ability to share knowledge to be engaged.In a learning community it seems like it would be important to figure out what strengths different members bring to the table, scaffold discussions so that varied expertise is valued, and establish the trust among members early and consistently. I liked the ""Building Online Learning Communities' reference to conscious community - the need for personal growth and transformation as part of that definition.The other piece that seemed missing from the studies I found was thinking about the role of discourse in building knowledge or learning in the community. It was perhaps implicit in the different measures of weblogs aItics from these studies but that seems to miss the constructivist thinking that R described in Prezi.Thinking about the definition makes me realize the challenges of thinking about evaluation with respect to online communities.",MKI
39,"Great points, E. Figuring out strengths with one another is definitely a challenge, and with such little time (15 weeks) for a semester, it's not always easy to determine those. But, I like your ideas of scaffolding discussions to help build in different levels of expertise. Thanks!",SKC
40,"Great points, E. Figuring out strengths with one another is definitely a challenge, and with such little time (15 weeks) for a semester, it's not always easy to determine those. But, I like your ideas of scaffolding discussions to help build in different levels of expertise. Thanks!",MKC
41,"E- I really like that you pointed out in order for online communities to be successful you need high engagement.  I think sometimes people think online classes are ""easy"".  However, if you are going to do them right and be successful you really need to be engaged and spend a lot of time participating in the community",MKC
42,"I envision ""online community"" as a place where people of all kind from all over the world comes together online to work and or learn together. Online communities occur when individuals come together for a sense of purpose. I would say that our class on this Ning website is an example of an online community. We come together and engage in conversations to enhance our learning and understanding. Slowly we become comfortable with one another so that the space shared in our online community is a safe place. We all have a common interest in choosing this class and taking this class. Each person may have a different reason for taking this class as we stated in our voicethreads the first week of class, but we had the option to come together to take this class and share the space here. I envision online learning communities as a place where people could freely express their self and keep an open mind to what they would like to share with other people within the community.",MKI
43,"I envision ""online community"" as a place where people of all kind from all over the world comes together online to work and or learn together. Online communities occur when individuals come together for a sense of purpose. I would say that our class on this Ning website is an example of an online community. We come together and engage in conversations to enhance our learning and understanding. Slowly we become comfortable with one another so that the space shared in our online community is a safe place. We all have a common interest in choosing this class and taking this class. Each person may have a different reason for taking this class as we stated in our voicethreads the first week of class, but we had the option to come together to take this class and share the space here. I envision online learning communities as a place where people could freely express their self and keep an open mind to what they would like to share with other people within the community.",DKI
44,"I, I definitely agree that an online learning community should be a place where people can express freely and keep an open mind to other people's opinions. I think sometimes this can be a little harder in an online class because when people are having a discussion you are only ever reading their responses. You are not able to read someone's body language and other things that people take advantage of when they are face to face. But if everyone is open minded I think people's differences in opinions can be amazing in an online learning community because it gets everyone thinking.",MKC
45,"J, _I agree with you, it is definitely harder to express yourself through an online class since you don't get to hear how each person verbally contributes. I would say the pro of having online classes would be being able to see those who are quieter in a typical lecture classroom engaging and expressing their thoughts and opinions.",DKC
46,I- I agree I think this class is going to be a really good online community.  I really liked the voicethreads that we did the first week as this activity really gave us a better understanding about the members of the group.  This is my fist time using Ning- but so far I think it is going to be a really neat tool to use in this community,MKC
47,"I too would agree this will be a great online community with structure, entertainment, variety of learning opportunities....I also feel many programs are turning to online connections that will hopefully amount to a successful online community. _Programs that are spread out over distance may have to save money and start building resources around internet. _some of the personalized one on one may get lost in the mix, but as we are learning there are so many ways to ""see"" classmates or co-workers and also when you become familiar with online, you can eventually begin to ""read"" body language. _I know I can tell when someone is ready to debate a subject _... yikes _:) _its all good....",SKC
48,"I too would agree this will be a great online community with structure, entertainment, variety of learning opportunities....I also feel many programs are turning to online connections that will hopefully amount to a successful online community. _Programs that are spread out over distance may have to save money and start building resources around internet. _some of the personalized one on one may get lost in the mix, but as we are learning there are so many ways to ""see"" classmates or co-workers and also when you become familiar with online, you can eventually begin to ""read"" body language. _I know I can tell when someone is ready to debate a subject _... yikes _:) _its all good....",DKC
49,"I would agree with what you said. It's definitely successful to have online communities and classes. Last semester I had a student from the Duluth campus as a group member for an online class. I was quite shocked, but at the same time, when I thought about it, I liked the idea of having classmates from different campuses as well",MKC
50,"I define ""online community"" as a place where people from all over engages in some type of online work whether it is for some type of service or just for to connect with others in the world. Wikipedia stated that online community can be an information system whether people can post up information whether if it is open to everyone to post or private to only a few certain people able to post. The other big form of of online community is a form of communication for people. Communities would either be more like a blogging pages or social media sites like Facebook. As stated above it would feel like the online communities would mainly be used to connect with people or used as a source to give out information and find information. Online learning communities help bond people together who may not know each other before. For example, online classes at the University of Minnesota help colleagues like us bond together. It's a shared place where we all come together and learn more about one another through our interactions. There's a sense of ""purpose"" that each online community hold. The ""purpose"" of each online community varies depending on the structure of the community.",MKI
51,"I define ""online community"" as a place where people from all over engages in some type of online work whether it is for some type of service or just for to connect with others in the world. Wikipedia stated that online community can be an information system whether people can post up information whether if it is open to everyone to post or private to only a few certain people able to post. The other big form of of online community is a form of communication for people. Communities would either be more like a blogging pages or social media sites like Facebook. As stated above it would feel like the online communities would mainly be used to connect with people or used as a source to give out information and find information. Online learning communities help bond people together who may not know each other before. For example, online classes at the University of Minnesota help colleagues like us bond together. It's a shared place where we all come together and learn more about one another through our interactions. There's a sense of ""purpose"" that each online community hold. The ""purpose"" of each online community varies depending on the structure of the community.",MKI
52,"I define ""online community"" as a place where people from all over engages in some type of online work whether it is for some type of service or just for to connect with others in the world. Wikipedia stated that online community can be an information system whether people can post up information whether if it is open to everyone to post or private to only a few certain people able to post. The other big form of of online community is a form of communication for people. Communities would either be more like a blogging pages or social media sites like Facebook. As stated above it would feel like the online communities would mainly be used to connect with people or used as a source to give out information and find information. Online learning communities help bond people together who may not know each other before. For example, online classes at the University of Minnesota help colleagues like us bond together. It's a shared place where we all come together and learn more about one another through our interactions. There's a sense of ""purpose"" that each online community hold. The ""purpose"" of each online community varies depending on the structure of the community.",DKI
53,"Hi K! - I agree with you that an online community can be many different types such as facebook, online search engines and blogging type sites.  I think that it is interesting that we can create relationships and think collaboratively with others over many different types of online communities.  There is definitely a sense of purpose that each different online community has to offer",MKC
54,"K,I agree that each online community has their own purpose to it. At first when I thought about online communities, I thought they were all similar and ""what's the purpose of having Facebook when it's just like Myspace?"" always comes to my mind. However, after thinking it through, they may both be generally the same, a place for social networking, but Facebook is more about being able to browse through what your friends wish to share and to comment on it, while Myspace is more about conversations on each other's Myspace page",MKC
55,"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",SKI
