"","message_text","variable"
"11","Hi T, The book is ""Telling Ain't Training"" by Stolovich and Keeps, and I really recommend it! Even though it's technically about ""training"", it has a lot of interesting ideas for teaching in general and is written in a very friendly, easy-to-understand style. There is a really interesting section on metacognition and how you can recognize it and cultivate it in your students. I think there are a lot of connections between chapter 8 and professional environments, but one that pops into my head right now is the importance of good feedback. At least for myself, it's more motivational if I get really specific feedback on something to fix than really generic positive feedback. At least in my experience, it's really rare to get very specific feedback, positive or negative, from a supervisor. ","SKC"
"12","Hi T, The book is ""Telling Ain't Training"" by Stolovich and Keeps, and I really recommend it! Even though it's technically about ""training"", it has a lot of interesting ideas for teaching in general and is written in a very friendly, easy-to-understand style. There is a really interesting section on metacognition and how you can recognize it and cultivate it in your students. I think there are a lot of connections between chapter 8 and professional environments, but one that pops into my head right now is the importance of good feedback. At least for myself, it's more motivational if I get really specific feedback on something to fix than really generic positive feedback. At least in my experience, it's really rare to get very specific feedback, positive or negative, from a supervisor. ","MKC"
"13","Hi, O:You certainly identified some key points from the reading that also resonated with me. For example that notion that the instructor needs to check in with students to determine what they are learning. When I thought about your post later on, however, I concluded that much of the ideas presented in the book are really common sense practices that instructors commonly adopt or should adopt. The structure of this course mirrors almost exactly many of the ideas presented in the book. Kukos to Instructor!One area that I struggle with in chapter 8 concerns collaboration. While in general I agree that collaboration is beneficial for all (students and instructor), I felt that the book did not address what happens when individual students have different learning objectives or career goals. And what about when students have different learning styles? ","MKC"
"14","Hi, O:You certainly identified some key points from the reading that also resonated with me. For example that notion that the instructor needs to check in with students to determine what they are learning. When I thought about your post later on, however, I concluded that much of the ideas presented in the book are really common sense practices that instructors commonly adopt or should adopt. The structure of this course mirrors almost exactly many of the ideas presented in the book. Kukos to Instructor!One area that I struggle with in chapter 8 concerns collaboration. While in general I agree that collaboration is beneficial for all (students and instructor), I felt that the book did not address what happens when individual students have different learning objectives or career goals. And what about when students have different learning styles? ","MKC"
"15","Hi Everyone,I'm in a coffee shop, so I am opting to write (both for privacy and bandwidth), but isn't this the fun of taking an online class -- you can do it in a coffee shop!Some highlights for me:I'm a big fan of ""dialogue as inquiry"" as stated on pages 170-171.  It reminds me of the purpose of social studies education (which I am studying).  Schools are perhaps the most democratic places students will find themselves in.  That is, outside of school students are often with like-minded people, either through their own friends, parents' friends, relatives, religious organizations etc.  It is in school that we need to develop their ability to dialogue with people unlike themselves.  In an online environment, as the authors suggest, this kind of dialogue is set up right away and it builds.  If the instructor provides ""encouraging expansive questions"" and steps back the students will take over the dialogue.  The authors use Brookfield and Preskill's findings (2005) stating as such, ""the more successful students are at collaborating, the more they will seek it out"" (p. 171).  In my experiences of both teaching online and f-2-f, it seems in the online environment this collaboration, while sometimes more difficult actually produces better results.  The process matters!Another highlight for me is ""learning about technology by using it"", pages 195-196.  Simply put, I want my mom and dad to take an online class!  They keep asking me questions about technology that are out of context and it's extremely frustrating.  I strongly believe that if they took an online class they would not only gain confidence in their technological skills, but recognize the power of technology to learn in ways that meets the needs of the adult learner.Connections/Disconnections among readings:This book must have been difficult to write.  I say this because everything is so connected.  Topics loop and loop again.  Transformative learning takes place through the collaborative process, right?  At least that's how I see it.  Through collaboration and learning about your own strengths and weaknesses of collaborating with others you can't help but transform.  You cannot help but reflect on how it is going and your own role and how you would do it better.  So, to me it's all one big string that is looping back on itself.Connections/Disconnections to other topics in class:I'm still a little caught up in communities of practice.  I think that they can be wonderful and amazing if everyone is committed to them.  Otherwise, it could simply be a bunch of people who happen to do the same thing and they talk about it sometimes.  This is where the reflection piece discussed in Chapter 9 becomes important.  I think I'd like to see more reflection both individuals and the group would be important in a community of practice.  Otherwise, the potential for growth as a community become limited.  Through reflection you get to see your strengths and areas for growth.Puzzle:As I read the text, it mirrors my experiences as an online instructor and as an online student.  That is, they really push for the instructor to set up the class for student interaction and if the instructor does it well, they can step out of the way.  OK, yes.  I have learned several things I will do next time I teach online - yippee!  However, I'm still left wondering what online learning looks like for a content specific class, such as biology or history, where they are taught in a traditional lecture style format.  I want to see what that looks like done well, following what the text says we ought to do.  Has anyone seen that? Experienced it? What was it like?","MKI"
"16","Hi Everyone,I'm in a coffee shop, so I am opting to write (both for privacy and bandwidth), but isn't this the fun of taking an online class -- you can do it in a coffee shop!Some highlights for me:I'm a big fan of ""dialogue as inquiry"" as stated on pages 170-171.  It reminds me of the purpose of social studies education (which I am studying).  Schools are perhaps the most democratic places students will find themselves in.  That is, outside of school students are often with like-minded people, either through their own friends, parents' friends, relatives, religious organizations etc.  It is in school that we need to develop their ability to dialogue with people unlike themselves.  In an online environment, as the authors suggest, this kind of dialogue is set up right away and it builds.  If the instructor provides ""encouraging expansive questions"" and steps back the students will take over the dialogue.  The authors use Brookfield and Preskill's findings (2005) stating as such, ""the more successful students are at collaborating, the more they will seek it out"" (p. 171).  In my experiences of both teaching online and f-2-f, it seems in the online environment this collaboration, while sometimes more difficult actually produces better results.  The process matters!Another highlight for me is ""learning about technology by using it"", pages 195-196.  Simply put, I want my mom and dad to take an online class!  They keep asking me questions about technology that are out of context and it's extremely frustrating.  I strongly believe that if they took an online class they would not only gain confidence in their technological skills, but recognize the power of technology to learn in ways that meets the needs of the adult learner.Connections/Disconnections among readings:This book must have been difficult to write.  I say this because everything is so connected.  Topics loop and loop again.  Transformative learning takes place through the collaborative process, right?  At least that's how I see it.  Through collaboration and learning about your own strengths and weaknesses of collaborating with others you can't help but transform.  You cannot help but reflect on how it is going and your own role and how you would do it better.  So, to me it's all one big string that is looping back on itself.Connections/Disconnections to other topics in class:I'm still a little caught up in communities of practice.  I think that they can be wonderful and amazing if everyone is committed to them.  Otherwise, it could simply be a bunch of people who happen to do the same thing and they talk about it sometimes.  This is where the reflection piece discussed in Chapter 9 becomes important.  I think I'd like to see more reflection both individuals and the group would be important in a community of practice.  Otherwise, the potential for growth as a community become limited.  Through reflection you get to see your strengths and areas for growth.Puzzle:As I read the text, it mirrors my experiences as an online instructor and as an online student.  That is, they really push for the instructor to set up the class for student interaction and if the instructor does it well, they can step out of the way.  OK, yes.  I have learned several things I will do next time I teach online - yippee!  However, I'm still left wondering what online learning looks like for a content specific class, such as biology or history, where they are taught in a traditional lecture style format.  I want to see what that looks like done well, following what the text says we ought to do.  Has anyone seen that? Experienced it? What was it like?","DKI"
"17","Hi Everyone,I'm in a coffee shop, so I am opting to write (both for privacy and bandwidth), but isn't this the fun of taking an online class -- you can do it in a coffee shop!Some highlights for me:I'm a big fan of ""dialogue as inquiry"" as stated on pages 170-171.  It reminds me of the purpose of social studies education (which I am studying).  Schools are perhaps the most democratic places students will find themselves in.  That is, outside of school students are often with like-minded people, either through their own friends, parents' friends, relatives, religious organizations etc.  It is in school that we need to develop their ability to dialogue with people unlike themselves.  In an online environment, as the authors suggest, this kind of dialogue is set up right away and it builds.  If the instructor provides ""encouraging expansive questions"" and steps back the students will take over the dialogue.  The authors use Brookfield and Preskill's findings (2005) stating as such, ""the more successful students are at collaborating, the more they will seek it out"" (p. 171).  In my experiences of both teaching online and f-2-f, it seems in the online environment this collaboration, while sometimes more difficult actually produces better results.  The process matters!Another highlight for me is ""learning about technology by using it"", pages 195-196.  Simply put, I want my mom and dad to take an online class!  They keep asking me questions about technology that are out of context and it's extremely frustrating.  I strongly believe that if they took an online class they would not only gain confidence in their technological skills, but recognize the power of technology to learn in ways that meets the needs of the adult learner.Connections/Disconnections among readings:This book must have been difficult to write.  I say this because everything is so connected.  Topics loop and loop again.  Transformative learning takes place through the collaborative process, right?  At least that's how I see it.  Through collaboration and learning about your own strengths and weaknesses of collaborating with others you can't help but transform.  You cannot help but reflect on how it is going and your own role and how you would do it better.  So, to me it's all one big string that is looping back on itself.Connections/Disconnections to other topics in class:I'm still a little caught up in communities of practice.  I think that they can be wonderful and amazing if everyone is committed to them.  Otherwise, it could simply be a bunch of people who happen to do the same thing and they talk about it sometimes.  This is where the reflection piece discussed in Chapter 9 becomes important.  I think I'd like to see more reflection both individuals and the group would be important in a community of practice.  Otherwise, the potential for growth as a community become limited.  Through reflection you get to see your strengths and areas for growth.Puzzle:As I read the text, it mirrors my experiences as an online instructor and as an online student.  That is, they really push for the instructor to set up the class for student interaction and if the instructor does it well, they can step out of the way.  OK, yes.  I have learned several things I will do next time I teach online - yippee!  However, I'm still left wondering what online learning looks like for a content specific class, such as biology or history, where they are taught in a traditional lecture style format.  I want to see what that looks like done well, following what the text says we ought to do.  Has anyone seen that? Experienced it? What was it like?","DKI"
"18","Hi Everyone,I'm in a coffee shop, so I am opting to write (both for privacy and bandwidth), but isn't this the fun of taking an online class -- you can do it in a coffee shop!Some highlights for me:I'm a big fan of ""dialogue as inquiry"" as stated on pages 170-171.  It reminds me of the purpose of social studies education (which I am studying).  Schools are perhaps the most democratic places students will find themselves in.  That is, outside of school students are often with like-minded people, either through their own friends, parents' friends, relatives, religious organizations etc.  It is in school that we need to develop their ability to dialogue with people unlike themselves.  In an online environment, as the authors suggest, this kind of dialogue is set up right away and it builds.  If the instructor provides ""encouraging expansive questions"" and steps back the students will take over the dialogue.  The authors use Brookfield and Preskill's findings (2005) stating as such, ""the more successful students are at collaborating, the more they will seek it out"" (p. 171).  In my experiences of both teaching online and f-2-f, it seems in the online environment this collaboration, while sometimes more difficult actually produces better results.  The process matters!Another highlight for me is ""learning about technology by using it"", pages 195-196.  Simply put, I want my mom and dad to take an online class!  They keep asking me questions about technology that are out of context and it's extremely frustrating.  I strongly believe that if they took an online class they would not only gain confidence in their technological skills, but recognize the power of technology to learn in ways that meets the needs of the adult learner.Connections/Disconnections among readings:This book must have been difficult to write.  I say this because everything is so connected.  Topics loop and loop again.  Transformative learning takes place through the collaborative process, right?  At least that's how I see it.  Through collaboration and learning about your own strengths and weaknesses of collaborating with others you can't help but transform.  You cannot help but reflect on how it is going and your own role and how you would do it better.  So, to me it's all one big string that is looping back on itself.Connections/Disconnections to other topics in class:I'm still a little caught up in communities of practice.  I think that they can be wonderful and amazing if everyone is committed to them.  Otherwise, it could simply be a bunch of people who happen to do the same thing and they talk about it sometimes.  This is where the reflection piece discussed in Chapter 9 becomes important.  I think I'd like to see more reflection both individuals and the group would be important in a community of practice.  Otherwise, the potential for growth as a community become limited.  Through reflection you get to see your strengths and areas for growth.Puzzle:As I read the text, it mirrors my experiences as an online instructor and as an online student.  That is, they really push for the instructor to set up the class for student interaction and if the instructor does it well, they can step out of the way.  OK, yes.  I have learned several things I will do next time I teach online - yippee!  However, I'm still left wondering what online learning looks like for a content specific class, such as biology or history, where they are taught in a traditional lecture style format.  I want to see what that looks like done well, following what the text says we ought to do.  Has anyone seen that? Experienced it? What was it like?","DKI"
"19","Hi Everyone,I'm in a coffee shop, so I am opting to write (both for privacy and bandwidth), but isn't this the fun of taking an online class -- you can do it in a coffee shop!Some highlights for me:I'm a big fan of ""dialogue as inquiry"" as stated on pages 170-171.  It reminds me of the purpose of social studies education (which I am studying).  Schools are perhaps the most democratic places students will find themselves in.  That is, outside of school students are often with like-minded people, either through their own friends, parents' friends, relatives, religious organizations etc.  It is in school that we need to develop their ability to dialogue with people unlike themselves.  In an online environment, as the authors suggest, this kind of dialogue is set up right away and it builds.  If the instructor provides ""encouraging expansive questions"" and steps back the students will take over the dialogue.  The authors use Brookfield and Preskill's findings (2005) stating as such, ""the more successful students are at collaborating, the more they will seek it out"" (p. 171).  In my experiences of both teaching online and f-2-f, it seems in the online environment this collaboration, while sometimes more difficult actually produces better results.  The process matters!Another highlight for me is ""learning about technology by using it"", pages 195-196.  Simply put, I want my mom and dad to take an online class!  They keep asking me questions about technology that are out of context and it's extremely frustrating.  I strongly believe that if they took an online class they would not only gain confidence in their technological skills, but recognize the power of technology to learn in ways that meets the needs of the adult learner.Connections/Disconnections among readings:This book must have been difficult to write.  I say this because everything is so connected.  Topics loop and loop again.  Transformative learning takes place through the collaborative process, right?  At least that's how I see it.  Through collaboration and learning about your own strengths and weaknesses of collaborating with others you can't help but transform.  You cannot help but reflect on how it is going and your own role and how you would do it better.  So, to me it's all one big string that is looping back on itself.Connections/Disconnections to other topics in class:I'm still a little caught up in communities of practice.  I think that they can be wonderful and amazing if everyone is committed to them.  Otherwise, it could simply be a bunch of people who happen to do the same thing and they talk about it sometimes.  This is where the reflection piece discussed in Chapter 9 becomes important.  I think I'd like to see more reflection both individuals and the group would be important in a community of practice.  Otherwise, the potential for growth as a community become limited.  Through reflection you get to see your strengths and areas for growth.Puzzle:As I read the text, it mirrors my experiences as an online instructor and as an online student.  That is, they really push for the instructor to set up the class for student interaction and if the instructor does it well, they can step out of the way.  OK, yes.  I have learned several things I will do next time I teach online - yippee!  However, I'm still left wondering what online learning looks like for a content specific class, such as biology or history, where they are taught in a traditional lecture style format.  I want to see what that looks like done well, following what the text says we ought to do.  Has anyone seen that? Experienced it? What was it like?","DKI"
"20","M- your second quote ""learning about technology by using it"" was something that caught my eye as well.  I started online learning three years ago and I can't believe how far I have come.  Technology like many other things is something that is ever changing and you must use it to stay up on the skills.  I also think that technology is ""scary"" for many users and you must be able to get over this to be able to take the leap and learn.  Online classes are an exciting way to learn and to connect with others.  I am hoping that someday I will be able to launch an online parenting class.  We will see but this class has really been helpful in learning so much about communities","MKC"
"21","A faculty member at the U of M, Prof. Chris Cramer, with the Department of Chemistry, has a MOOC - online right now on Thermodynamics. It's worth taking  look at his Coursera page, https://www.coursera.org/course/thermodynamics, to learn about what he does in the course. Page 138 in the book also talks about a statistics course using the ""fishbowl"" technique that might be of interest to you.","SKC"
"22","this is very impressive, thanks for sharing this, C! The only way I know to teach content-based disciplines is flipped classroom :)","SKC"
"23","Hi M, some things about your response jumped out at me. I thought for a while about if school is the most democratic place students actually find themselves in. Maybe democratic isn't so much the descriptive word I would use as diverse. I guess at least from my experience, not all schools are either that democratic or that diverse (although some are), but I agree that it's important for schools to develop student's ability to dialogue with people different from themselves, particularly because this is a good trait to learn earlier in life.Your response also made me think about how asking ""expansive questions"" can really get at how people think differently and have different perspectives from each other. I agree with you and the book that expansive, open ended questions are a great way to open a dialogue and lead into lessons about how to talk/collaborate with people who have different identities than yourself.","SKC"
"24","Hi M, some things about your response jumped out at me. I thought for a while about if school is the most democratic place students actually find themselves in. Maybe democratic isn't so much the descriptive word I would use as diverse. I guess at least from my experience, not all schools are either that democratic or that diverse (although some are), but I agree that it's important for schools to develop student's ability to dialogue with people different from themselves, particularly because this is a good trait to learn earlier in life.Your response also made me think about how asking ""expansive questions"" can really get at how people think differently and have different perspectives from each other. I agree with you and the book that expansive, open ended questions are a great way to open a dialogue and lead into lessons about how to talk/collaborate with people who have different identities than yourself.","MKC"
"25","Hi O,I jumped the gun. _You are correct. __Schools are the most diverse places (even those that are not racially diverse -- think SES, abilities, religion, political persuasion, etc.) students will encounter. _That is, outside of school they are likely to hang out with people like themselves. _I meant to say then, with this diversity we can teach our students democratic principles. _Attached is a quick article that articulates what I'm trying to say much better: Discussions that Drive Democracy.My question/puzzle is the role of online classes in this. _It seems if set up well, the students engage in conversations that might force them to take on different points of view or at least read/listen to them. _What I like about this is online gives students some space to think before speaking. _My question -- can that skill be transferred to f-2-f?","MKC"
